basketball-v2/Iteration,Average/AverageDiscountedReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KLAfter,basketball-v2/TerminationRate,GaussianMLPPolicy/Entropy,basketball-v2/AverageReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/Average/SuccessRate,Average/TerminationRate,basketball-v2/AverageDiscountedReturn,MetaTest/Average/AverageReturn,Average/MinReturn,Average/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,basketball-v2/StdReturn,GaussianMLPPolicy/KLBefore,basketball-v2/MaxReturn,Average/NumEpisodes,MetaTest/basketball-v2/SuccessRate,basketball-v2/SuccessRate,GaussianMLPPolicy/LossAfter,MetaTest/Average/NumEpisodes,Iteration,MetaTest/Average/Iteration,MetaTest/basketball-v2/Iteration,MetaTest/Average/StdReturn,MetaTest/Average/TerminationRate,basketball-v2/MinReturn,Average/MaxReturn,MetaTest/basketball-v2/NumEpisodes,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,TotalEnvSteps,basketball-v2/NumEpisodes,GaussianMLPPolicy/LossBefore,MetaTest/basketball-v2/StdReturn,Average/SuccessRate,Average/Iteration,MetaTest/basketball-v2/MaxReturn,MetaTest/Average/MaxReturn,MetaTest/basketball-v2/MinReturn
0,1.949750064006149,0.007191681885160506,0.009743474423885345,0.0,5.671584606170654,5.891388333173215,7.214654637375393,0.0,0.0,0.0,1.949750064006149,7.214654637375393,0.7974252281151303,4.295021389157591,7.214654637375394,4.295021389157591,0.0,42.262842029824114,200,0.0,0.0,-0.007987086661159992,50,0,0,0,4.561302931119313,0.0,0.7974252281151303,42.262842029824114,50,5.891388333173215,7.214654637375394,0.6997461613356667,200000,200,-0.0007954047759994864,4.561302931119313,0.0,0,20.08747672575727,20.08747672575727,0.6997461613356667
1,2.620304303472129,0.0011502671986818314,0.006705932319164276,0.0,5.641689300537109,6.888069265395651,11.63953396768948,0.0,0.0,0.0,2.620304303472129,11.63953396768948,0.8157887887302977,5.157327005392541,11.63953396768948,5.157327005392541,0.0,40.89326029640695,200,0.0,0.0,-0.0059595475904643536,50,1,1,1,7.360878254512634,0.0,0.8157887887302977,40.89326029640695,50,6.888069265395651,11.63953396768948,2.595489640881225,400000,200,-0.004809280391782522,7.360878254512634,0.0,1,40.418958577740725,40.418958577740725,2.595489640881225
2,3.9163432794667883,0.001115462655434385,0.006546654738485813,0.0,5.644347667694092,12.158971908397426,12.179510108466072,0.0,0.0,0.0,3.9163432794667883,12.179510108466072,1.8536741006136355,20.23234891925014,12.179510108466074,20.23234891925014,0.0,270.2493232493155,200,0.0,0.0,-0.0006324024870991707,50,2,2,2,7.062974225396214,0.0,1.8536741006136355,270.2493232493155,50,12.158971908397426,12.179510108466074,2.843487728009595,600000,200,0.00048306016833521426,7.062974225396214,0.0,2,29.09208497292581,29.09208497292581,2.843487728009595
3,4.229012392053262,0.0009727966971695423,0.006599014159291983,0.0,5.6145243644714355,12.333629767991178,10.242655997752683,0.0,0.0,0.0,4.229012392053262,10.242655997752683,1.4153060856778499,9.120932526538915,10.242655997752683,9.120932526538915,0.0,71.87820130696079,200,0.0,0.0,-0.003561930265277624,50,3,3,3,5.5116478723356,0.0,1.4153060856778499,71.87820130696079,50,12.333629767991178,10.242655997752683,1.3520373238772654,800000,200,-0.002589133568108082,5.5116478723356,0.0,3,29.347326115873596,29.347326115873596,1.3520373238772654
4,4.239258492512735,0.0017888997681438923,0.006534167565405369,0.0,5.586184978485107,11.215117516869668,11.733040397950878,0.0,0.0,0.0,4.239258492512735,11.733040397950878,2.184168458120587,6.278943006849537,11.73304039795088,6.278943006849537,0.0,38.35767811621335,200,0.0,0.0,-0.00511016184464097,50,4,4,4,8.20122253877002,0.0,2.184168458120587,38.35767811621335,50,11.215117516869668,11.73304039795088,2.8991433296853426,1000000,200,-0.003321262076497078,8.20122253877002,0.0,4,42.585920751006476,42.585920751006476,2.8991433296853426
5,4.327583983690428,0.00022058095782995224,0.009744012728333473,0.0,5.6366658210754395,12.090011456129655,13.829059122092655,0.0,0.0,0.0,4.327583983690428,13.829059122092655,2.9061858563232645,7.62639011704417,13.829059122092659,7.62639011704417,0.0,47.28882345258216,200,0.0,0.0,0.0038194297812879086,50,5,5,5,8.511160983324316,0.0,2.9061858563232645,47.28882345258216,50,12.090011456129655,13.829059122092659,3.760113229771615,1200000,200,0.004040010739117861,8.511160983324316,0.0,5,51.316949568621474,51.316949568621474,3.760113229771615
6,4.469926335823832,0.001153285731561482,0.006510880775749683,0.0,5.632175445556641,13.218476937245237,13.841204120982441,0.0,0.0,0.0,4.469926335823832,13.841204120982441,2.8019567396713576,7.65739309094361,13.841204120982443,7.65739309094361,0.0,49.71482128905795,200,0.0,0.0,-0.0017536096274852753,50,6,6,6,6.009202890228388,0.0,2.8019567396713576,49.71482128905795,50,13.218476937245237,13.841204120982443,4.0049524541458394,1400000,200,-0.0006003238959237933,6.009202890228388,0.0,6,34.033789025773494,34.033789025773494,4.0049524541458394
7,4.313431651466154,0.0014050411991775036,0.006444005761295557,0.0,5.604454517364502,13.566597691508344,14.684544602153647,0.0,0.0,0.0,4.313431651466154,14.684544602153647,3.068026979975398,5.813425864563663,14.684544602153649,5.813425864563663,0.0,30.72134563625017,200,0.0,0.0,-0.0040581123903393745,50,7,7,7,8.644554853435123,0.0,3.068026979975398,30.72134563625017,50,13.566597691508344,14.684544602153649,3.9278872562856813,1600000,200,-0.002653071191161871,8.644554853435123,0.0,7,49.208642542124544,49.208642542124544,3.9278872562856813
8,4.914917040792603,0.0017262984765693545,0.006537974812090397,0.0,5.596638202667236,15.911675072586164,17.615976405469905,0.0,0.0,0.0,4.914917040792603,17.615976405469905,3.781677019917344,7.205717146054233,17.615976405469905,7.205717146054233,0.0,36.03625835033475,200,0.0,0.0,-0.002468552440404892,50,8,8,8,7.420820917261351,0.0,3.781677019917344,36.03625835033475,50,15.911675072586164,17.615976405469905,5.19286452986687,1800000,200,-0.0007422539638355374,7.420820917261351,0.0,8,41.0881084444738,41.0881084444738,5.19286452986687
9,4.521567154305792,0.0015709827421233058,0.006475579924881458,0.0,5.602782726287842,16.499404334198083,17.34335841814525,0.0,0.0,0.0,4.521567154305792,17.34335841814525,3.2964524426223156,8.323009830319128,17.34335841814525,8.323009830319128,0.0,52.42921448301404,200,0.0,0.0,-0.0007739033317193389,50,9,9,9,6.64018733273306,0.0,3.2964524426223156,52.42921448301404,50,16.499404334198083,17.34335841814525,5.604363484331837,2000000,200,0.0007970794104039669,6.64018733273306,0.0,9,34.813172659344474,34.813172659344474,5.604363484331837
