basketball-v2/Iteration,Average/Iteration,MetaTest/Average/Iteration,Average/SuccessRate,GaussianMLPPolicy/dLoss,MetaTest/Average/StdReturn,TotalEnvSteps,MetaTest/Average/NumEpisodes,basketball-v2/MaxReturn,MetaTest/basketball-v2/AverageReturn,MetaTest/Average/MaxReturn,MetaTest/Average/SuccessRate,basketball-v2/MinReturn,basketball-v2/TerminationRate,MetaTest/basketball-v2/MinReturn,MetaTest/basketball-v2/TerminationRate,MetaTest/basketball-v2/NumEpisodes,Average/AverageReturn,MetaTest/Average/AverageDiscountedReturn,GaussianMLPPolicy/KLBefore,MetaTest/basketball-v2/StdReturn,Average/MaxReturn,Average/StdReturn,MetaTest/Average/AverageReturn,Iteration,basketball-v2/AverageReturn,basketball-v2/NumEpisodes,Average/AverageDiscountedReturn,GaussianMLPPolicy/KLAfter,MetaTest/basketball-v2/MaxReturn,Average/TerminationRate,MetaTest/Average/MinReturn,MetaTest/basketball-v2/SuccessRate,GaussianMLPPolicy/LossBefore,GaussianMLPPolicy/LossAfter,MetaTest/basketball-v2/Iteration,basketball-v2/SuccessRate,Average/NumEpisodes,GaussianMLPPolicy/Entropy,MetaTest/Average/TerminationRate,basketball-v2/AverageDiscountedReturn,basketball-v2/StdReturn,MetaTest/basketball-v2/AverageDiscountedReturn,Average/MinReturn
0,0,0,0.0,0.003139623673632741,6.6588011205203905,200000,50,36.60202614352113,10.17490406954539,31.111291966770096,0.0,0.9411545966980568,0.0,2.18414471097703,0.0,50,5.888183112910963,10.17490406954539,0.0,6.6588011205203905,36.60202614352113,4.41423913357538,10.17490406954539,0,5.888183112910963,200,1.9973847287829647,0.006437352392822504,31.111291966770096,0.0,2.18414471097703,0.0,0.001956633757799864,-0.0011829899158328772,0,0.0,200,5.6837382316589355,0.0,1.9973847287829647,4.41423913357538,10.17490406954539,0.9411545966980568
1,1,1,0.0,0.0025089483242481947,6.781046182969071,400000,50,45.854652855030785,11.367240825494525,28.48331141042624,0.0,1.1543537827447106,0.0,2.5209987050773597,0.0,50,11.132577116580919,11.367240825494525,0.0,6.781046182969071,45.854652855030785,7.362624008681799,11.367240825494525,1,11.132577116580919,200,3.7914027602466853,0.009900697506964207,28.48331141042624,0.0,2.5209987050773597,0.0,0.005038856528699398,0.0025299082044512033,1,0.0,200,5.727359294891357,0.0,3.7914027602466853,7.362624008681799,11.367240825494525,1.1543537827447106
2,2,2,0.0,0.001157542603323236,6.878553432124379,600000,50,47.24375321226435,12.249045146195668,28.243321006216767,0.0,2.2646635536088535,0.0,2.0432713537927674,0.0,50,14.282784512403932,12.249045146195671,0.0,6.878553432124379,47.24375321226435,8.111146525932657,12.249045146195668,2,14.282784512403932,200,4.752624957035913,0.009918898344039917,28.243321006216767,0.0,2.0432713537927674,0.0,0.0004613468481693417,-0.0006961957551538944,2,0.0,200,5.735287666320801,0.0,4.752624957035913,8.111146525932657,12.249045146195671,2.2646635536088535
3,3,3,0.0,0.001969289733096957,7.07273910284687,800000,50,41.62575598354707,12.876930256673655,30.96326306539792,0.0,1.8925466673309306,0.0,2.474193560029094,0.0,50,13.766393279021127,12.876930256673655,0.0,7.07273910284687,41.62575598354707,7.056999268130637,12.876930256673655,3,13.766393279021127,200,4.630400304318914,0.0065572550520300865,30.96326306539792,0.0,2.474193560029094,0.0,-0.0008698618039488792,-0.0028391515370458364,3,0.0,200,5.726262092590332,0.0,4.630400304318914,7.056999268130637,12.876930256673655,1.8925466673309306
4,4,4,0.0,0.0010595761486911215,6.765580351921169,1000000,50,63.873727370940706,11.810061870088614,28.841294268013996,0.0,2.9513355642981263,0.0,2.2268534827549353,0.0,50,14.370460044676568,11.810061870088616,0.0,6.765580351921169,63.873727370940706,7.975942989789432,11.810061870088614,4,14.370460044676568,200,4.604815442212984,0.006460223346948624,28.841294268013996,0.0,2.2268534827549353,0.0,3.508371446514502e-05,-0.0010244924342259765,4,0.0,200,5.721198081970215,0.0,4.604815442212984,7.975942989789432,11.810061870088616,2.9513355642981263
5,5,5,0.0,0.0013331745758478064,6.8254831342776,1200000,50,39.32576594364374,13.902521945389756,32.73365780767376,0.0,2.7480411682034878,0.0,2.562822486736729,0.0,50,13.846723742974387,13.902521945389756,0.0,6.8254831342776,39.32576594364374,7.110840683054963,13.902521945389756,5,13.846723742974387,200,4.737101161816696,0.009469644166529179,32.73365780767376,0.0,2.562822486736729,0.0,-5.684764983016066e-05,-0.001390022225677967,5,0.0,200,5.724930763244629,0.0,4.737101161816696,7.110840683054963,13.902521945389756,2.7480411682034878
6,6,6,0.0,0.00170968659222126,9.609372430848044,1400000,50,35.63842360924475,14.583014174134252,56.83901994975226,0.0,1.7715394502954924,0.0,2.496541221039918,0.0,50,15.020114403926128,14.58301417413425,0.0,9.609372430848044,35.63842360924475,7.477666055247064,14.583014174134252,6,15.020114403926128,200,4.772472771061992,0.006462437566369772,56.83901994975226,0.0,2.496541221039918,0.0,-0.005272922106087208,-0.006982608698308468,6,0.0,200,5.672744274139404,0.0,4.772472771061992,7.477666055247064,14.58301417413425,1.7715394502954924
7,7,7,0.0,0.0014653175021521747,6.909903817139259,1600000,50,71.29532849094166,13.26016101600243,33.757765569511136,0.0,2.6536015874475964,0.0,2.5110849122442827,0.0,50,14.997162906699641,13.26016101600243,0.0,6.909903817139259,71.29532849094166,9.256402748322644,13.26016101600243,7,14.997162906699641,200,4.944393452177202,0.006458920426666737,33.757765569511136,0.0,2.5110849122442827,0.0,0.0015971509274095297,0.00013183342525735497,7,0.0,200,5.688602924346924,0.0,4.944393452177202,9.256402748322644,13.26016101600243,2.6536015874475964
8,8,8,0.0,0.001885953824967146,7.694521016657886,1800000,50,42.130404318727784,16.29858006360824,35.01278213137271,0.0,2.545163768948271,0.0,2.9492738690090268,0.0,50,15.423461562638268,16.29858006360824,0.0,7.694521016657886,42.130404318727784,7.918182561612517,16.29858006360824,8,15.423461562638268,200,5.003911037468239,0.006734192371368408,35.01278213137271,0.0,2.9492738690090268,0.0,-0.004884927999228239,-0.006770881824195385,8,0.0,200,5.626889228820801,0.0,5.003911037468239,7.918182561612517,16.29858006360824,2.545163768948271
9,9,9,0.0,0.001260827120859176,8.978073426673335,2000000,50,53.86611233136421,16.066526464117175,45.31027671407902,0.0,2.420922304634167,0.0,3.271255754122452,0.0,50,16.11996932745733,16.066526464117175,0.0,8.978073426673335,53.86611233136421,8.380994414583656,16.066526464117175,9,16.11996932745733,200,5.085540018147287,0.006385830231010914,45.31027671407902,0.0,3.271255754122452,0.0,-0.0008339189807884395,-0.0020947461016476154,9,0.0,200,5.617332935333252,0.0,5.085540018147287,8.380994414583656,16.066526464117175,2.420922304634167
