drawer-close-v2/Iteration,GaussianMLPPolicy/LossBefore,MetaTest/shelf-place-v2/AverageDiscountedReturn,button-press-topdown-v2/StdReturn,push-v2/SuccessRate,reach-v2/MaxReturn,push-v2/MinReturn,door-open-v2/AverageReturn,sweep-v2/Iteration,TotalEnvSteps,reach-v2/MinReturn,MetaTest/door-close-v2/TerminationRate,MetaTest/sweep-into-v2/TerminationRate,MetaTest/drawer-open-v2/Iteration,basketball-v2/MaxReturn,Average/AverageReturn,pick-place-v2/SuccessRate,MetaTest/door-close-v2/SuccessRate,basketball-v2/Iteration,window-open-v2/StdReturn,reach-v2/StdReturn,sweep-v2/AverageDiscountedReturn,Average/SuccessRate,MetaTest/shelf-place-v2/AverageReturn,push-v2/StdReturn,sweep-v2/MaxReturn,button-press-topdown-v2/SuccessRate,button-press-topdown-v2/AverageDiscountedReturn,door-open-v2/TerminationRate,drawer-close-v2/NumEpisodes,MetaTest/door-close-v2/StdReturn,button-press-topdown-v2/Iteration,peg-insert-side-v2/Iteration,MetaTest/sweep-into-v2/AverageDiscountedReturn,peg-insert-side-v2/MaxReturn,basketball-v2/MinReturn,drawer-close-v2/MaxReturn,MetaTest/shelf-place-v2/MinReturn,pick-place-v2/AverageDiscountedReturn,peg-insert-side-v2/SuccessRate,pick-place-v2/NumEpisodes,window-open-v2/MinReturn,drawer-close-v2/MinReturn,MetaTest/drawer-open-v2/StdReturn,window-open-v2/Iteration,push-v2/Iteration,button-press-topdown-v2/NumEpisodes,sweep-v2/TerminationRate,drawer-close-v2/TerminationRate,MetaTest/sweep-into-v2/Iteration,Average/AverageDiscountedReturn,peg-insert-side-v2/StdReturn,window-open-v2/AverageReturn,MetaTest/Average/SuccessRate,drawer-close-v2/SuccessRate,MetaTest/drawer-open-v2/MinReturn,button-press-topdown-v2/TerminationRate,GaussianMLPPolicy/KLAfter,sweep-v2/NumEpisodes,push-v2/MaxReturn,button-press-topdown-v2/MaxReturn,pick-place-v2/Iteration,MetaTest/drawer-open-v2/NumEpisodes,MetaTest/lever-pull-v2/MaxReturn,reach-v2/AverageReturn,MetaTest/sweep-into-v2/MaxReturn,MetaTest/drawer-open-v2/SuccessRate,sweep-v2/SuccessRate,GaussianMLPPolicy/Entropy,MetaTest/sweep-into-v2/AverageReturn,Average/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MinReturn,MetaTest/sweep-into-v2/NumEpisodes,reach-v2/AverageDiscountedReturn,sweep-v2/AverageReturn,push-v2/AverageDiscountedReturn,Average/MaxReturn,door-open-v2/AverageDiscountedReturn,pick-place-v2/MaxReturn,door-open-v2/MinReturn,Iteration,Average/NumEpisodes,GaussianMLPPolicy/KLBefore,MetaTest/lever-pull-v2/AverageReturn,Average/MinReturn,sweep-v2/MinReturn,drawer-close-v2/StdReturn,MetaTest/lever-pull-v2/AverageDiscountedReturn,door-open-v2/NumEpisodes,basketball-v2/StdReturn,MetaTest/lever-pull-v2/TerminationRate,reach-v2/Iteration,MetaTest/sweep-into-v2/MinReturn,basketball-v2/AverageDiscountedReturn,basketball-v2/SuccessRate,pick-place-v2/TerminationRate,MetaTest/drawer-open-v2/MaxReturn,basketball-v2/AverageReturn,MetaTest/Average/NumEpisodes,button-press-topdown-v2/AverageReturn,sweep-v2/StdReturn,pick-place-v2/MinReturn,MetaTest/sweep-into-v2/StdReturn,basketball-v2/TerminationRate,MetaTest/lever-pull-v2/Iteration,drawer-close-v2/AverageDiscountedReturn,MetaTest/sweep-into-v2/SuccessRate,peg-insert-side-v2/AverageReturn,door-open-v2/MaxReturn,MetaTest/door-close-v2/AverageDiscountedReturn,window-open-v2/MaxReturn,MetaTest/drawer-open-v2/AverageDiscountedReturn,push-v2/AverageReturn,door-open-v2/StdReturn,peg-insert-side-v2/NumEpisodes,peg-insert-side-v2/MinReturn,window-open-v2/TerminationRate,MetaTest/shelf-place-v2/StdReturn,MetaTest/shelf-place-v2/SuccessRate,MetaTest/Average/StdReturn,Average/StdReturn,pick-place-v2/AverageReturn,MetaTest/Average/Iteration,window-open-v2/SuccessRate,MetaTest/shelf-place-v2/TerminationRate,MetaTest/door-close-v2/Iteration,basketball-v2/NumEpisodes,window-open-v2/AverageDiscountedReturn,MetaTest/Average/AverageReturn,MetaTest/shelf-place-v2/NumEpisodes,MetaTest/door-close-v2/AverageReturn,window-open-v2/NumEpisodes,MetaTest/drawer-open-v2/AverageReturn,peg-insert-side-v2/TerminationRate,GaussianMLPPolicy/LossAfter,MetaTest/drawer-open-v2/TerminationRate,MetaTest/lever-pull-v2/StdReturn,MetaTest/lever-pull-v2/NumEpisodes,push-v2/NumEpisodes,reach-v2/NumEpisodes,MetaTest/shelf-place-v2/Iteration,door-open-v2/Iteration,MetaTest/door-close-v2/MinReturn,reach-v2/SuccessRate,push-v2/TerminationRate,door-open-v2/SuccessRate,GaussianMLPPolicy/dLoss,MetaTest/door-close-v2/NumEpisodes,MetaTest/Average/TerminationRate,reach-v2/TerminationRate,pick-place-v2/StdReturn,drawer-close-v2/AverageReturn,Average/Iteration,MetaTest/door-close-v2/MaxReturn,MetaTest/lever-pull-v2/MinReturn,peg-insert-side-v2/AverageDiscountedReturn,MetaTest/lever-pull-v2/SuccessRate,MetaTest/Average/MaxReturn,MetaTest/shelf-place-v2/MaxReturn,button-press-topdown-v2/MinReturn
0,-0.012634560465812683,0.014627991913040548,103.79556364493016,0.0,522.635700899298,6.222747208471766,285.0517981343224,0,200000,124.27328526685832,0.0,0.0,0,10.583413490885725,165.64583250078778,0.0,0.0,0,20.81439128518086,114.91709216341785,19.511648063424122,0.05,0.01462799191304055,10.938459384639787,271.87017644614934,0.25,55.05119263611944,0.0,20,18.385223960976145,0,0,35.12313852838363,6.6543386880417605,1.0536208055190421,4694.57784077577,0.0,1.9885654372717654,0.0,20,167.76454911208305,2.827204476779851,593.3022318645594,0,0,20,0.0,0.0,0,29.960140945414906,1.2947344242405037,190.74727846898017,0.0,0.25,429.7195644478943,0.0,0.007228768430650234,20,47.727704833921074,429.16273108004134,0,50,384.64566235886394,233.94193271882813,358.7500917046627,0.0,0.0,5.597786903381348,35.12313852838362,0.0,245.68321654151316,0.0,50,73.47588901903444,68.90314114238791,6.9440985868132135,4694.57784077577,45.85110384217234,24.20813382186089,175.42355711062493,0,200,0.0,209.12773185682354,1.0536208055190421,24.504778292445486,1190.035180315489,209.12773185682354,20,2.092697573181903,0.0,0,5.681402577857822,1.6799182808406687,0.0,0.0,2365.3125844826986,4.861245998017805,250,294.2511579551999,48.163321341627785,2.1000826150847405,54.931043145652005,0.0,0,53.05371422682937,0.0,4.163845234554567,546.5790431492061,48.5345694126443,249.37427547601476,935.6160149178012,15.44832399467017,130.56100536712512,20,2.748944103870991,0.0,0.0633566693964967,0.0,443.5691223030836,419.00300386666066,6.016520351503361,0,0.0,0.0,0,20,40.86955915944319,245.68321654151316,50,48.5345694126443,20,935.6160149178011,0.0,-0.016749659553170204,0.0,86.63193602523513,50,20,20,0,0,28.099784739255064,0.0,0.0,0.0,0.004115099087357521,50,0.0,0.0,5.2591874698157595,553.0730810094132,0,116.46782954913583,38.9729322106603,1.1757202022004791,0.0,2365.3125844826986,0.33023570627785503,125.91306555743333
1,0.0008952016942203045,0.03436703296556628,123.59362226912216,0.0,984.6578384872743,8.043647601353761,462.0505213464191,1,400000,171.8186852972389,0.0,0.0,1,30.10644356799678,178.30374234218135,0.0,0.0,1,25.139049001342432,176.19255162692312,22.04389259363707,0.04,0.03436703296556628,13.900057399472587,235.64682447742842,0.25,47.61327475882726,0.0,20,22.339075279834592,1,1,50.958181062056546,14.050178131596887,2.608384225265842,4574.116446156401,0.0,2.020295921912647,0.0,20,154.18380247385213,1.6666374709835643,491.9174807680097,1,1,20,0.0,0.0,1,34.073514453052105,2.932278727766592,193.46734446093532,0.0,0.15,420.8176474851583,0.0,0.006445629056543112,20,71.69242469216611,480.1776520430903,1,50,358.9787550781372,291.98963311743256,560.3801662304321,0.0,0.0,5.598681926727295,50.958181062056546,0.0,253.91573164178044,0.0,50,96.97086213075772,66.42125805645519,6.264554856351721,4574.116446156401,70.34695483081826,30.54034556877802,177.02045726815555,1,200,0.0,215.487490909752,1.4738826829422853,30.4018449985445,1230.1018343539722,215.48749090975195,20,6.077265601217262,0.0,1,8.311624297969898,3.0262874910931075,0.0,0.0,2055.34644195191,9.021953776975135,250,247.65464085970112,40.6966313863478,1.4738826829422853,88.30723518908783,0.0,1,48.89831649208488,0.0,6.290847595976286,632.1682882356645,52.03475297587485,232.0048402790577,951.0638662282533,17.365796185599407,153.77290088461515,20,2.3323374212143775,0.0,0.14698213803376953,0.0,422.746345724652,436.3717641828137,4.96356532934484,1,0.0,0.0,1,20,41.474665702441975,253.91573164178047,50,52.03475297587486,20,951.0638662282531,0.0,-0.0014613776002079248,0.0,96.93625294246415,50,20,20,1,1,24.242240533727646,0.0,0.0,0.0,0.0023565792944282293,50,0.0,0.0,6.221650584359205,483.81186269297467,1,121.03901378299634,41.57952362838475,2.076039752596421,0.0,2055.34644195191,0.9795329824638473,85.48811127623998
2,0.0020020310766994953,0.056740201177734255,119.66625629592491,0.0,349.8501111327119,8.453904584989518,434.08138780778745,2,600000,162.78204865607424,0.0,0.0,2,11.154154410336568,301.5186559958964,0.0,0.0,2,19.423070743535572,47.75738477857802,28.00661713945547,0.075,0.056740201177734255,7.276009324848079,235.67928753266864,0.2,54.77410828645932,0.0,20,16.743752791978903,2,2,50.42187456036803,82.43569339496023,1.5818536253844808,4573.78999910347,0.0,1.6518099064212262,0.0,20,175.493406291922,3.1391574009736463,559.544226142613,2,2,20,0.0,0.0,2,42.029778438192054,21.013227251589306,206.21300431806608,0.0,0.55,447.914678214104,0.0,0.009656818583607674,20,32.08071678008896,499.8641065765962,2,50,379.8445120263756,220.5242599802553,310.8550538268772,0.0,0.0,5.612160682678223,50.421874560368025,0.0,255.7341130440045,0.0,50,72.52492659625582,78.20113487081753,5.603453104746569,4573.78999910347,71.67727739190661,13.169378225352972,176.81631319376942,2,200,0.0,215.31947018005016,1.3696307027890042,41.60879901370746,1759.8463724520645,215.31947018005016,20,2.935560685950334,0.0,2,11.467234420818247,2.039090168839018,0.0,0.0,2328.972307537653,5.9853697875117025,250,342.9258549717252,47.446181944010476,1.3696307027890042,55.53342843778367,0.0,2,137.60885017515415,0.0,17.330390967134253,809.6532620571916,53.2162814349988,248.16076900279245,959.6561988434277,15.388811773708024,181.9569991561613,20,3.5359180789177302,0.0,0.2657292627528481,0.0,440.8511357220876,741.6407715126064,4.670658026983325,2,0.0,0.0,2,20,41.26443790196626,255.7341130440045,50,53.21628143499879,20,959.6561988434277,0.0,-0.003995985724031925,0.0,98.06803850116498,50,20,20,2,2,29.0970254512164,0.0,0.0,0.0,0.0059980168007314205,50,0.0,0.0,3.105174401188221,1689.8656874549754,2,98.16831686255422,36.943828278007494,5.1472137107160325,0.0,2328.972307537653,1.8255141712688967,159.12652585179418
3,-0.008784535340964794,0.01177095957484537,106.87560399194649,0.0,538.323856440476,9.891117672294705,460.3269063836518,3,800000,172.52209407877587,0.0,0.0,3,12.786334095437077,210.73564046915723,0.0,0.0,3,18.80781900899813,112.61420569987602,17.81283119771271,0.04,0.01177095957484537,19.991182553332774,88.92304065936248,0.25,51.72440188173964,0.0,20,24.019117110578296,3,3,69.05366019858589,52.78109400448238,1.620715331116256,4693.9332916867015,0.0,1.2044825235279868,0.0,20,174.70877028247023,2.669730943141769,522.2543102343078,3,3,20,0.0,0.0,3,39.559174727765146,11.217564038416585,209.3775370200712,0.0,0.15,444.78270248385735,0.0,0.006846608128398657,20,70.3528624672201,479.6167257189571,3,50,361.2143537905874,310.04716793526205,417.0556815551,0.0,0.0,5.56992244720459,69.05366019858592,0.0,268.8856947305125,0.0,50,90.7008792971537,58.67160389951632,10.249166629373232,4693.9332916867015,73.5566243801968,13.112884955886756,177.73208588887437,3,200,0.0,198.32426284248854,1.620715331116256,31.543731187542686,1638.695354123781,198.32426284248845,20,2.4815589646090714,0.0,3,7.2312912694837195,2.1449051045559555,0.0,0.0,2257.7091837650064,5.647211645485471,250,322.85303462850123,11.369377297014955,1.7780567316378344,76.81910408281007,0.0,3,104.64742767844855,0.0,9.822038586929533,601.4344042165428,75.14804753645573,257.4575378812184,1001.8907321154578,29.84448480913262,118.6872494295993,20,2.7547883165225113,0.0,0.08239671702391757,0.0,442.86312621161557,567.8096281620834,5.756449370335354,3,0.0,0.0,3,20,41.411244734592906,268.8856947305125,50,75.14804753645573,20,1001.8907321154578,0.0,-0.012033170089125633,0.0,96.82702800358398,50,20,20,3,3,46.632770663372476,0.0,0.0,0.0,0.003248634748160839,50,0.0,0.0,2.858583390884316,695.0099704126869,3,131.38546585144854,38.944198194956144,2.139783850349984,0.0,2257.7091837650064,0.5885479787422685,146.02573085465195
4,0.0012938376748934388,0.3214230321996429,104.39076413747412,0.0,710.0094362912042,9.286558483309589,468.32599648996984,4,1000000,273.54010523321796,0.0,0.0,4,27.860872777497736,205.50353476222344,0.0,0.0,4,11.776899296610175,120.81034488349049,30.43357976004417,0.04,0.3214230321996429,5.123066510920217,242.50994265697946,0.2,52.655095853123406,0.0,20,31.831680914957737,4,4,52.01229191500432,135.15188674662568,2.0793391031352724,4212.5899902962565,0.0,3.319524293803604,0.0,20,173.2828332992831,3.505807679361451,504.7169914186372,4,4,20,0.0,0.0,4,39.41850205002154,35.20095411886558,196.6201854625652,0.0,0.2,477.68442564464254,0.0,0.009518587030470371,20,31.771351345186698,467.04972763173805,4,50,369.33309235269576,440.7164980931458,244.92022673964735,0.0,0.0,5.5865654945373535,52.01229191500433,0.0,275.0881059128966,0.0,50,123.41588937398032,80.18384801262191,5.414408296167658,4212.5899902962565,84.73787749048134,22.50448338407495,179.27571602112425,4,200,0.0,218.97072985697048,2.0793391031352724,17.951543400947344,1112.7181081679425,218.9707298569705,20,5.182928939919038,0.0,4,5.9081152362088805,2.209433082682008,0.0,0.0,2345.107802629112,6.9320413823474585,250,314.3888115637597,49.32539729538256,4.3062529094567505,56.58924266223027,0.0,4,48.03484618833546,0.0,20.60332607913098,815.7955918115117,73.88533543148259,215.67547743362778,1030.2507493288258,13.311365132872401,163.08213695817273,20,3.172733934147539,0.0,1.8392857419863038,0.0,448.7593342557653,410.4821094485637,9.033516396353956,4,0.0,0.0,4,20,40.04612737166785,275.0881059128966,50,73.8853354314826,20,1030.250749328826,0.0,-0.0018203245708718896,0.0,93.83280954385963,50,20,20,4,4,36.64221994903997,0.0,0.0,0.0,0.0031141622457653284,50,0.0,0.0,3.7347935509944907,504.91975900946693,4,177.00939459982882,42.561093907846924,3.9182387899295783,0.0,2345.107802629112,13.090555187753546,107.9948776295787
5,0.0019217838998883963,0.10146777474774189,108.05597046289438,0.0,575.6577814737911,9.794582062015264,266.4430549674237,5,1200000,201.5267558545142,0.0,0.0,5,22.849266858857945,230.3199024145816,0.0,0.0,5,18.16950215931716,93.13330784736719,18.50428599737887,0.06,0.10146777474774193,71.63748863796326,158.32398203642845,0.35,53.22101484542037,0.0,20,30.16394206096417,5,5,117.72902808354351,10.658579516321815,1.4691924212776666,4824.368444270137,0.0,1.7081248060778655,0.0,20,150.73930833238057,3.2566777459805483,438.3128103528517,5,5,20,0.0,0.0,5,41.7573008156557,2.184805398799521,193.87960170085552,0.0,0.25,507.7340206345557,0.0,0.006508400198072195,20,328.6140357959894,489.7820960224087,5,50,372.62167424375775,384.1990425233918,700.1367731852806,0.0,0.0,5.596484184265137,117.72902808354351,0.0,301.3486678933057,0.0,50,95.68048093852515,63.81257586720494,17.809673410600496,4824.368444270137,57.98486108203957,18.063150775018887,177.19133446598582,5,200,0.0,219.7445504406488,1.4691924212776666,45.85748430512828,1757.2174516716748,219.7445504406488,20,6.273711384534136,0.0,5,11.49644115552828,3.075459530079828,0.0,0.0,2267.1987098091327,9.846713184553431,250,335.0000212926046,23.305175988882226,2.9514549979871414,147.73282702129313,0.0,5,128.61758165932423,0.0,6.926516137497943,658.5231452208295,88.05289757548107,232.21467742377075,1081.1153955921072,46.62554459735422,130.17627144551116,20,4.082265553594911,0.0,0.35871078614315355,0.0,449.2762847524836,628.6849153913012,8.097498675738008,5,0.0,0.0,5,20,39.25868630321169,301.3486678933057,50,88.05289757548107,20,1081.1153955921075,0.0,-0.0007226556772366166,0.0,98.67261667673787,50,20,20,5,5,45.8879287599675,0.0,0.0,0.0,0.002644439577125013,50,0.0,0.0,4.210102633634421,988.3684551991921,5,162.38403768595646,55.29486460234728,1.7128395838989294,0.0,2267.1987098091327,1.6138548894750453,185.31815598694166
6,-0.008234620094299316,0.054061068906652805,87.8109339672362,0.0,910.9855046853233,11.11242995620626,274.0713660266646,6,1400000,262.6868161738791,0.0,0.0,6,34.3608592561138,233.1793509958066,0.0,0.0,6,40.919309732678556,168.6444912006447,23.95839357750614,0.045,0.054061068906652805,24.23854720473357,248.03205733363615,0.25,62.503494427131066,0.0,20,29.36421753763109,6,6,211.7163769570468,144.71603501327206,3.9268236771709235,4632.611941298717,0.0,2.5950429222693394,0.0,20,193.4202382166206,1.9683058381103862,403.6225769630247,6,6,20,0.0,0.0,6,40.75680925506048,37.88595291185743,227.26023460521395,0.016,0.2,465.0243139081776,0.0,0.006533296313136816,20,88.6822808339093,502.52584434298154,6,50,366.5907522134857,490.5865922084272,3802.0872450449697,0.0,0.0,5.5366058349609375,211.71637695704686,0.0,305.4037120828675,0.0,50,106.34216190245301,73.55205815636785,16.152900362933984,4632.611941298717,56.20730597764121,10.874078008212917,176.1817750439726,6,200,0.0,205.7015251877216,1.9683058381103862,27.936996455434606,1609.6800534285576,205.70152518772156,20,8.22434914569522,0.0,6,9.737832611063846,3.0856294634092456,0.0,0.0,2109.615008396642,10.937740251991615,250,367.109280981145,48.196214207484196,4.385617130506546,546.5843941529699,0.0,6,89.40238868102085,0.08,27.825244171731924,654.8924971638869,73.6109781637941,393.48307363193965,1035.9356190368685,42.73605003275499,159.48179809954686,20,4.309086366638194,0.0,0.2792448859602682,0.0,483.5375358312589,572.9493531493921,6.972722824151144,6,0.0,0.0,6,20,41.63387582618661,305.40371208286757,50,73.6109781637941,20,1035.9356190368687,0.0,-0.009211999364197254,0.0,84.57973864440659,50,20,20,6,6,36.96347434945874,0.0,0.0,0.0,0.0009773792698979378,50,0.0,0.0,1.8526340215934338,810.7422206996179,6,171.62128066386046,50.51374130177973,5.686899410053281,0.0,3802.0872450449697,1.8521401200714696,209.06302729592787
7,0.00028669359744526446,0.01726771596187733,99.00916830656986,0.0,425.4785144182163,13.610681636221946,252.94539035174458,7,1600000,215.53801252511715,0.0,0.0,7,30.210774567265453,299.2536089714678,0.0,0.0,7,58.709351438307,63.375142427825736,20.941747890709564,0.075,0.01726771596187733,72.14612994627248,182.72892593886323,0.15,64.08442983869773,0.0,20,30.501424240593316,7,7,157.99461396902151,44.27671138967301,3.2591173978883305,4744.691697735334,0.0,3.277398433398018,0.0,20,207.27524177107267,3.6383868427024053,294.97384865856486,7,7,20,0.0,0.0,7,49.17512828421893,10.527256300735443,256.4902284593381,0.008,0.6,496.70760791404985,0.0,0.00668345857411623,20,337.718912547306,520.8643044667798,7,50,376.18770700698224,304.3053717291262,1336.711964467319,0.0,0.0,5.537829875946045,157.99461396902151,0.0,295.9558971577072,0.0,50,88.83039512620827,67.93830202379145,25.512836698318726,4744.691697735334,51.51091340914335,19.796781147764687,176.54408490438345,7,200,0.0,219.53533561146872,3.0806932916940974,46.5327465479485,1736.7981322911048,219.53533561146872,20,5.936850657652747,0.0,7,8.811470502940976,2.8937837880625437,0.0,0.0,2012.8342569868873,9.773267100074223,250,374.16801780415165,27.76364376890039,3.0806932916940974,251.8480199346078,0.0,7,186.10230369306413,0.04,13.8895269014212,472.64548158988725,80.92463492702453,467.914490918404,1021.3076335650596,64.10107827173569,96.91635508264767,20,3.9298186967948294,0.0,0.10716123261349261,0.0,411.20762472805757,722.1191849706665,8.999329425014192,7,0.0,0.0,7,20,44.49250212655154,295.9558971577072,50,80.92463492702451,20,1021.3076335650595,0.0,-0.0011588102206587791,0.0,96.25244279051235,50,20,20,7,7,42.961205330788374,0.0,0.0,0.0,0.0014455038181040436,50,0.0,0.0,4.235884535552437,1639.9255776482812,7,181.43736315871848,46.72842967605981,4.104971838035418,0.0,2012.8342569868873,0.7606060116724914,92.13636096866871
8,0.003949726931750774,0.14885134179540643,100.27321480833669,0.0,503.3774070578823,15.628177951741327,311.6962085380484,8,1800000,142.92062988964972,0.0,0.0,8,19.39101581478309,211.04806412312536,0.0,0.0,8,45.24102592281396,86.0339068386441,17.37399502238362,0.075,0.14885134179540643,122.58754457110689,150.2548805632744,0.3,62.026726154560265,0.0,20,6.049874975372529,8,8,183.40824447554849,34.31271668631962,4.833141776756765,2614.060204317309,0.0,2.0852942313654177,0.0,20,208.20961310144807,3.244127267474705,305.9470394677746,8,8,20,0.0,0.0,8,33.33053375803917,7.883106329702565,250.64090117197793,0.004,0.4,498.1921877015978,0.0,0.009876850992441177,20,537.7447573602899,497.0454972771664,8,50,369.2792244920236,271.00348307567987,3121.7496076056086,0.0,0.0,5.590441703796387,183.4082444755485,0.0,288.54557821136535,0.0,50,72.0189109371727,64.43882836997952,37.956147598954615,2614.060204317309,69.72796741055706,18.748868356001655,177.1020403395923,8,200,0.0,220.86547563422988,2.1140773754337148,44.45042977595555,1015.0474216274802,220.8654756342299,20,3.326426000298286,0.0,8,9.675194945203874,2.5264608828061377,0.0,0.0,2178.35167445375,8.66990620808114,250,342.94955079851906,21.82638951528271,2.1140773754337148,439.6192644816218,0.0,8,23.270072901006927,0.02,12.921810959304818,595.7122200007884,43.08391946610117,408.7366173566632,995.2214001391517,106.97103660919126,146.84354743351366,20,2.9852749412384645,0.0,0.510346752814341,0.0,436.70072560771905,393.0894881355468,8.61028508949121,8,0.05,0.0,8,20,43.38314147284238,288.5455782113654,50,43.08391946610115,20,995.2214001391518,0.0,0.0012185553787276149,0.0,90.45882001087085,50,20,20,8,8,33.60506133748984,0.0,0.0,0.0,0.0027311715530231595,50,0.0,0.0,5.083844290783205,732.5786304109807,8,66.11918808814778,45.898817397815634,2.9366209687424596,0.0,3121.7496076056086,2.2473132036406267,195.6466354041554
9,-7.883311627665535e-05,0.02168658262491685,102.74146361819342,0.0,2021.5045377905503,18.05231111861591,371.65270283886684,9,2000000,277.7748967700537,0.0,0.0,9,26.271722600580937,411.677305724649,0.0,0.0,9,146.75782521707237,387.2158720994409,28.457996706585334,0.115,0.02168658262491685,36.11142386641346,251.6322701187343,0.25,66.5092580369367,0.0,20,7.822191733298605,9,9,281.91332964830275,23.94779435605264,4.520653838108956,4725.239913092051,0.0,3.423767422051545,0.0,20,220.56199035967114,3.78225730869164,387.2436792803844,9,9,20,0.0,0.0,9,54.38095484400561,4.905112352785051,341.25426405141843,0.016,0.7,752.7551307788837,0.0,0.006401240825653076,20,161.91728753032967,550.6188145957391,9,50,352.28542962934574,578.6414326234514,3456.607466583302,0.0,0.0,5.588818073272705,281.9133296483028,0.0,354.01282314021114,0.0,50,113.03141993072536,77.3723631437618,13.424261973113122,4725.239913092051,66.81598627642815,18.457398742233167,208.38650750477544,9,200,0.0,205.55031768419815,2.4795763718806296,36.60174283057071,1726.8797035074824,205.55031768419815,20,4.964223879013746,0.0,9,7.550187042916658,3.2878744194951075,0.0,0.0,2444.9302911378036,11.110785673935657,250,387.4432006445467,49.112547654623114,2.4795763718806296,554.520116803234,0.0,9,198.70129831560308,0.08,12.830453913471354,520.695416505871,43.11792375688674,717.0012422548846,1239.4608580290428,51.27311700081479,93.89006445731346,20,5.257107173578212,0.0,0.07647793504358007,0.0,547.8085511022317,860.7524298504263,9.569454406580414,9,0.2,0.0,9,20,47.09395366716843,354.01282314021114,50,43.11792375688673,20,1239.460858029043,0.0,-0.0013859642203897238,0.0,98.67413789187233,50,20,20,9,9,33.25093755934359,0.0,0.0,0.0,0.0013071311041130684,50,0.0,0.0,4.714562171504159,2275.625282949642,9,86.95346500985373,38.03459454415922,3.0637316919492923,0.0,3456.607466583302,0.3545937433612756,220.4142562224425
