MetaTest/door-close-v2/TerminationRate,MetaTest/Average/NumEpisodes,MetaTest/sweep-into-v2/StdReturn,MetaTest/shelf-place-v2/MaxReturn,MetaTest/sweep-into-v2/MinReturn,MetaTest/shelf-place-v2/TerminationRate,MetaTest/sweep-into-v2/MaxReturn,MetaTest/sweep-into-v2/AverageReturn,MetaTest/drawer-open-v2/TerminationRate,MetaTest/lever-pull-v2/AverageDiscountedReturn,MetaTest/lever-pull-v2/TerminationRate,MetaTest/sweep-into-v2/TerminationRate,MetaTest/door-close-v2/MinReturn,MetaTest/shelf-place-v2/Iteration,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/MaxReturn,MetaTest/lever-pull-v2/MaxReturn,MetaTest/sweep-into-v2/NumEpisodes,MetaTest/lever-pull-v2/StdReturn,MetaTest/Average/StdReturn,MetaTest/door-close-v2/Iteration,MetaTest/sweep-into-v2/SuccessRate,MetaTest/lever-pull-v2/MinReturn,MetaTest/door-close-v2/StdReturn,MetaTest/drawer-open-v2/MaxReturn,MetaTest/Average/SuccessRate,MetaTest/drawer-open-v2/MinReturn,MetaTest/drawer-open-v2/AverageDiscountedReturn,MetaTest/shelf-place-v2/MinReturn,MetaTest/door-close-v2/AverageReturn,MetaTest/shelf-place-v2/NumEpisodes,MetaTest/Average/TerminationRate,MetaTest/sweep-into-v2/Iteration,MetaTest/door-close-v2/NumEpisodes,MetaTest/shelf-place-v2/AverageDiscountedReturn,MetaTest/lever-pull-v2/SuccessRate,MetaTest/drawer-open-v2/AverageReturn,MetaTest/door-close-v2/AverageDiscountedReturn,MetaTest/lever-pull-v2/NumEpisodes,MetaTest/drawer-open-v2/NumEpisodes,MetaTest/lever-pull-v2/AverageReturn,MetaTest/shelf-place-v2/AverageReturn,MetaTest/shelf-place-v2/StdReturn,MetaTest/shelf-place-v2/SuccessRate,MetaTest/Average/Iteration,MetaTest/door-close-v2/MaxReturn,MetaTest/lever-pull-v2/Iteration,MetaTest/Average/AverageReturn,MetaTest/sweep-into-v2/AverageDiscountedReturn,TotalEnvSteps,MetaTest/drawer-open-v2/SuccessRate,MetaTest/door-close-v2/SuccessRate,MetaTest/drawer-open-v2/StdReturn,MetaTest/Average/MinReturn,MetaTest/drawer-open-v2/Iteration
0.0,250,16.046556683400716,0.0,29.367581697042404,0.0,85.7265095511454,48.821445667302385,0.0,162.0448486978739,0.0,0.0,77.05577909526869,0,140.5810768650762,434.62679426305493,275.8508757564343,50,38.688142207469305,142.9726974618711,0,0.0,101.32122948642886,6.8726529370185725,434.62679426305493,0.0,390.7319430471709,403.2010996621648,0.0,88.83799029803986,50,0.0,0,50,0.0,0.0,403.2010996621648,88.83799029803986,50,50,162.0448486978739,0.0,0.0,0.0,0,104.57501035884286,0,140.5810768650762,48.82144566730238,225000,0.0,0.0,10.690062560782804,0.0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,375000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,825000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1275000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1575000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025000,,,,,
0.0,250,6.953032844879034,0.0,17.67306798765664,0.0,53.377556330390966,29.666317490620518,0.0,97.6967456532329,0.0,0.0,30.452759945295963,1,340.1951691806902,1988.5867648004928,200.30342652426012,50,56.397481842461694,476.7704910320691,1,0.0,15.999651498663608,426.3334747415085,455.4770773569813,0.0,395.8721014720716,411.7821632912967,0.0,1161.8306194683007,50,0.0,1,50,0.0,0.0,411.7821632912967,1161.830619468301,50,50,97.6967456532329,0.0,0.0,0.0,1,1988.5867648004928,1,340.1951691806902,29.666317490620507,2100000,0.0,0.0,19.6299799151619,0.0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2175000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2250000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2325000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400000,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475000,,,,,
