MetaTest/door-unlock-v2/MaxReturn,MetaTest/Average/MinReturn,MetaTest/box-close-v2/MaxReturn,MetaTest/door-unlock-v2/SuccessRate,MetaTest/box-close-v2/MinReturn,MetaTest/hand-insert-v2/AverageReturn,MetaTest/Average/AverageReturn,MetaTest/door-unlock-v2/NumEpisodes,MetaTest/Average/MaxReturn,MetaTest/door-lock-v2/TerminationRate,MetaTest/box-close-v2/AverageDiscountedReturn,MetaTest/hand-insert-v2/NumEpisodes,MetaTest/door-lock-v2/StdReturn,MetaTest/box-close-v2/TerminationRate,MetaTest/Average/AverageDiscountedReturn,MetaTest/Average/StdReturn,MetaTest/box-close-v2/Iteration,MetaTest/bin-picking-v2/MinReturn,MetaTest/box-close-v2/StdReturn,MetaTest/box-close-v2/SuccessRate,MetaTest/door-lock-v2/MaxReturn,TotalEnvSteps,MetaTest/door-lock-v2/AverageReturn,MetaTest/bin-picking-v2/TerminationRate,MetaTest/Average/TerminationRate,MetaTest/door-unlock-v2/AverageReturn,MetaTest/bin-picking-v2/Iteration,MetaTest/Average/SuccessRate,MetaTest/hand-insert-v2/AverageDiscountedReturn,MetaTest/Average/NumEpisodes,MetaTest/Average/Iteration,MetaTest/box-close-v2/NumEpisodes,MetaTest/bin-picking-v2/MaxReturn,MetaTest/door-unlock-v2/MinReturn,MetaTest/hand-insert-v2/TerminationRate,MetaTest/hand-insert-v2/MinReturn,MetaTest/door-lock-v2/Iteration,MetaTest/hand-insert-v2/MaxReturn,MetaTest/bin-picking-v2/AverageReturn,MetaTest/door-unlock-v2/TerminationRate,MetaTest/door-lock-v2/SuccessRate,MetaTest/door-unlock-v2/StdReturn,MetaTest/hand-insert-v2/SuccessRate,MetaTest/door-lock-v2/NumEpisodes,MetaTest/box-close-v2/AverageReturn,MetaTest/hand-insert-v2/Iteration,MetaTest/bin-picking-v2/NumEpisodes,MetaTest/door-unlock-v2/Iteration,MetaTest/hand-insert-v2/StdReturn,MetaTest/door-unlock-v2/AverageDiscountedReturn,MetaTest/bin-picking-v2/AverageDiscountedReturn,MetaTest/bin-picking-v2/SuccessRate,MetaTest/bin-picking-v2/StdReturn,MetaTest/door-lock-v2/AverageDiscountedReturn,MetaTest/door-lock-v2/MinReturn
801.8570800763501,4.163177372129673,376.67711802724676,0.0,4.183320354520734,7.36742137446875,234.23990460047713,50,801.8570800763501,0.0,247.8430449805189,50,23.600094037929775,0.0,234.23990460047713,205.70971600055742,0,4.163177372129673,63.36858498070965,0.0,591.9274560187383,1350000,475.3830997321297,0.0,0.0,428.64856412143376,0,0.0,7.367421374468751,250,0,50,34.805699453486106,382.03922079645554,0.0,5.3697460793195155,0,13.098763287235139,11.957392793834636,0.0,0.0,99.77727143476916,0.0,50,247.84304498051887,0,50,0,1.5112528899344024,428.6485641214338,11.957392793834636,0.0,6.45406231657771,475.3830997321297,457.3878015101053
,,,,,,,,,,,,,,,,,,,,,1687500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2025000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2362500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,2700000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,3037500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,3375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,3712500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4050000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4387500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,4725000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5062500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5400000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5737500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
